TF Family,Number of TFs,Entrez IDs
BED zinc finger factors,2,72114 667118
Elk-like factors,6,13712 13713 13714 14009 18612 104156
C/EBP,6,12606 12608 12611 12609 110794 13198
ZFN81-like factors,3,69930 22689 22689
NF-E2-like factors,5,18022 18023 18024 18025 12014
ZNF37A-like factors,4,22698 72720 228876 233060
Mesp-like factors,6,17292 17293 69852 17681 21412 56184
ZNF180-like factors,3,210135 22704 22691
Snail-like factors,5,20613 20583 30927 170729 545474
ZNF350-like factors,1,72154
ER-like receptors (NR3A&B),4,13982 13983 26380 26381
Ikaros,5,22778 22779 22780 22781 67143
AP-2,5,21418 21419 21420 226896 332937
Regulatory Smads (R-Smad),5,17125 17126 17127 17129 55994
Tal / HEN-like factors,5,21349 21350 17095 18071 18072
NFAT-related factors,5,18018 18019 18021 73181 54446
ZNF500-like factors,2,210162 99334
ZNF442-like factors,3,102640477 240064 236193
Achaete-Scute-like factors,5,17172 17173 56787 67341 226439
NCoR-like factors,4,20185 20602 217864 104383
Group B,5,20664 20674 20675 20669 223227
CREB-3-like factors,5,12913 26427 208647 208677 78284
Histone acetyltransferases with C2HC zinc finger,4,67773 217127 244349 81601
TCF-7-related factors,4,21415 21416 16842 270627
ZHX,4,22770 387609 320799 239099
Myb-like factors,5,17863 17864 17865 71702 227644
ZNF280-like zinc finger factors,3,64453 208968 229584
Nuclear factor 1,3,18027 18028 18032
ZSCAN5-like zinc finger factors,1,170734
FOXO,4,56458 56484 54601 329934
FOXN,3,15218 14236 116810
ZNF642-like factors,2,381549 213011
FOXP,2,20371 74123
HOX4,4,15401 15412 15423 15436
Fos factors,4,14281 14282 14283 14284
HLH domain only,4,15901 15902 15903 15904
TGIF,3,21815 228839 245583
PAR factors,4,13170 217082 21685 18030
TSC22,4,21807 72033 14605 78829
POU3 (Oct-6-like factors),3,18992 18993 18994
TADA2-like factors,4,217031 231151 20588 68094
Large Maf factors,4,17132 378435 16658 18185
Myc / Max factors,4,17869 18109 16918 17187
TEF-1-related factors,4,21676 21679 21677 21678
Myogenic transcription factors,4,17927 17928 17877 17878
ZFP91-like factors,4,109910 103836 57247 319601
Early B-Cell Factor-related factors,4,13591 13592 13593 228598
ZNF343-like factors,1,67911
JARID1,4,214899 75605 20591 20592
ZNF219-like factors,4,69890 243937 329003 228913
HOX6-7,4,15403 15414 15425 15404
TBX2-related factors,4,21385 21386 21387 21388
Sal-like factors,4,58198 50524 20689 99377
GR-like receptors (NR3C),4,14815 110784 18667 11835
EGR factors,4,13653 13654 13655 13656
Factors with 2-3 adjacent zinc fingers and a SCAN domain,2,385674 269870
PBX,4,18514 18515 18516 80720
MEF-2,4,17258 17259 17260 17261
ZNF302-like factors,1,72180
TFE3-like factors,4,209446 21425 21426 17342
ZNF75-like zinc finger factors,1,449521
CP2-related factors,3,21422 81879 22221
PITX,3,18740 18741 18741
MEIS,2,17536 17537
Runt-related factors,2,12393 12399
FOXJ,3,15223 60611 230700
FOXA,3,15375 15376 15377
ZFHX,3,239102 11906 80892
ZXD-factors,2,668166 80292
EHF-like factors,2,13661 13710
GRH-like proteins,3,195733 252973 230824
TBP-related factors,3,21374 237336 227606
HOX3,2,15400 15410
HOX1,3,15394 15407 15429
HOX5,3,15402 15413 15424
HOX8,3,15416 15426 15437
Myelin transcription factor-related proteins,3,17932 17933 240690
ZC3H8-related factors,3,57432 330474 78751
TBrain-related factors,3,21375 13813 57765
CREB-like factors,3,12912 100040260 12916
E2A-related factors,3,21423 21413 21406
NonO-related factors,3,53610 71514 66645
ALX,3,216285 11694 11695
PUR,3,19290 19291 75029
NFX1,3,74164 100978 98999
B-ATF-related factors,3,53314 74481 381319
ZBTB6-like factors,3,241322 320633 193736
ONECUT,2,15379 225631
Elf-1-like factors,3,13709 69257 56501
NK-5/HMX,3,15371 15372 15373
LXR (NR1H),3,22259 22260 20186
Mondo-like factors,3,21428 208104 58805
HNF1-like factors,3,21405 21410 219150
ARID3,3,13496 56380 550619
ATF-2-like factors,2,11909 223922
ZNF214-like factors,1,57745
TLX,3,21908 21909 27140
PLAG factors,3,54711 56711 22634
Further Sox-related factors,3,71722 73389 70508
ROR (NR1F),3,19883 225998 19885
POU4 (Brn-3-like factors),3,18996 18997 18998
HIV EP-factors,3,110521 15273 16656
Jun factors,3,16476 16477 16478
OTX,3,18423 18424 12951
ZNF177-like factors,1,100503949
MAZ-like factors,3,17188 22344 56218
Small Maf factors,3,17133 17134 17135
PPAR (NR1C),3,19013 19015 19016
TSHZ,3,110796 228911 243931
POU5 (Oct-3/4-like factors),2,18999 75507
ZNF665-like factors,1,224585
Heteromeric CCAAT-binding factors,3,18044 18045 18046
POU2 (Oct-1/2-like factors),3,18986 18987 18988
ZBTB1-like factors,3,268564 381990 109929
NF-kappaB p65 subunit-like factors,3,19697 19698 19696
NCoA factors,3,17977 17978 17979
Vitamin D receptor (NR1I),3,22337 18171 12355
ZNF532-like factors,2,233410 78266
CDX (Caudal type homeobox),3,12590 12591 12592
COUP-like receptors (NR2F),3,13865 11819 13864
NK-6,2,18096 14912
NK-4,3,18089 18091 18092
YY1-like factors,3,22632 100073351 22702
ZBTB7 factors,3,16969 22724 207259
Retinoid X receptors (NR2B),3,20181 20182 20183
SOHLH-like factors,3,227631 74434 277353
CSRNP factors,3,215418 207785 77771
Group F,3,20680 20671 20672
Group D,3,20678 20679 20668
Group E,3,20681 20682 20665
Group C,3,20677 20666 20667
ZNF764-like factors,2,233893 244216
ZNF841-like factors,1,102632968
NGFI-B-related receptors (NR4),3,15370 18227 18124
RLF-like factors,3,109263 30046 72020
Retinoic acid receptors (NR1B),3,19401 218772 19411
p53-related factors,3,22059 22061 22062
ZFP30-like factors,3,22693 330502 243906
ZFP2-like factors,1,22678
BCL11,3,14025 58208 63872
PAX-2-like factors (partial homeobox),3,18504 18507 18510
GCM factors,2,14531 107889
Evi-1-like factors,2,14013 70673
ZNF354A-like factors,2,21408 27274
Brachyury-related factors,2,20997 83993
VAX,2,22326 24113
FOXI,2,14233 270004
FOXK,2,17425 68837
FOXL,2,14241 26927
FOXC,2,17300 14234
FOXB,1,64290
FOXF,2,15227 14238
ZNF658-factors,1,634762
FOXR,2,382074 436240
ZNF319-like factors,2,79233 330301
ZNF238-like factors,2,30928 382639
Lmx,2,110648 16917
ZNF148-like factors,2,22661 226442
ZNF518,2,72672 100515
ARID1,2,93760 239985
SREBP factors,2,20787 20788
HOX2,2,15399 103889
ZFN26-like factors,1,102636383
GBX (Gastrulation brain homeobox),2,231044 14472
HD-PROS factors,2,19130 73422
OVOL-factors,2,18426 107586
ZNF652-like factors,1,268469
ZNF324 factors,1,243834
Testicular receptors (NR2C),2,22025 22026
Hypermethylated in Cancer proteins,2,15248 58180
Insulinoma-associated proteins,2,53626 56856
Lhx-1-like factors,2,16869 16873
Friend of GATA proteins,2,22761 22762
HINFP-like factors,2,102423 380993
PKNOX,2,18771 208076
EVX (Even-skipped homolog),2,14028 14029
Thyroid hormone receptors (NR1A),2,21833 21834
EN (Engrailed-like factors),2,13798 13799
ZBTB20-like factors,2,56490 232879
PAX-1/9 (no homeo remnant),2,18503 18511
MEOX,2,17285 17286
RAX,1,19434
GFI1 factors,2,14581 14582
DBX,2,13172 223843
FOXE,1,110805
BCL6 factors,2,12029 12053
ATF-3-like factors,2,11910 81703
ZFX/ZFY factors,1,22764
HMGA factors,1,15361
SIX4-like factors,2,20474 20475
ARID5,2,214855 71371
ARID4,2,238247 94246
ZKSCAN3-like factors,1,72739
ETV6-like factors,1,14011
ZNF639-like factors,2,67778 245595
MTF1-like factors,2,17764 52708
ZNF512-factors,2,269639 269401
Lhx-2-like factors,2,16870 16876
ISL,2,16392 104360
ZNF212-like factors,2,232784 72306
ZNF99-like factors,1,212281
TRERF1-like factors,2,224829 666528
ZEB,1,24136
GMEB,2,56809 229004
EMX,2,13796 13797
FEZF factors,2,73191 54713
SMARCA-like factors,2,93761 93762
FTZ-F1-related receptors (NR5),2,26423 26424
PRRX,2,18933 20204
M,2,19664 19668
ZNF76-like factors,2,224656 20841
ATF-4-related factors,2,11911 107503
PRDM1-like factors,1,12142
Lhx-3-like factors,2,16871 16872
ZNF286 factors,1,192651
BARX,2,12022 12023
ZNF14-like factors,1,208111
ZNF526-like factors,2,210172 232976
USF factors,2,22278 22282
DAX-related receptors (NR0),2,11614 23957
PHOX,2,11859 18935
POU6 (Brn-5-like factors),1,19009
ZNF366-like factors,2,238803 209225
ZNF558-like factors,1,72230
PHTF factors,2,18685 68770
ZNF773-like factors,1,232855
LBX,2,16814 16815
ZNF524-like factors,1,66056
Rev-ErbA (NR1D),2,217166 353187
CTCF-like factors,2,13018 664799
SIX3-like factors,2,20473 20476
PAX-4/6,2,18506 18508
ZNF146-like factors,2,26465 26466
BARHL,2,54422 104382
PBRM1-related factors,2,66923 70823
SATB,2,20230 212712
ATF-6 factors,2,226641 12915
GSX,2,14842 14843
PAX-3/7,2,18505 18509
GSC,2,14836 195333
NK-3,2,18095 12020
ZNF3-like factors,2,56314 69256
DNAJC-like factors,2,13418 22791
NK-2.1,2,21869 228731
NK-2.2,2,18088 18094
ZNF32-like factors,2,232337 22775
ZNF423-like factors,2,94187 225207
Dp-1,2,21781 211586
LRRFIP factors,1,16978
ZFN300-like factors,1,675812
ZNF689-like factors,2,71131 319475
WHSC1-related factors,2,107823 20833
ADNP,2,11538 240442
SIX1-like factors,2,20471 20472
Repressor-Smads (I-Smad),2,17130 17131
Lhx-6-like factors,2,16874 16875
CUX,1,13048
ZNF282-like factors,2,101095 272347
NF-kappaB p50 subunit-like factors,2,18033 18034
ZNF362-like factors,2,230761 269800
MSX,2,17701 17702
Spi-like factors,2,20375 20728
Basonuclin,2,12173 242509
HNF-4 (NR2A),2,15378 30942
SHOX,1,20429
VSX,2,114889 12677
TBX6-related factors,2,21389 29808
Sp110,1,101056250
CREBZF-like factors,1,233490
FOXH,1,14106
FOXM,1,14235
FOXG,1,15228
FOXQ,1,15220
HESX,1,15209
Co-activating Smads (Co-Smad),1,17128
ARID2,1,77044
UBF-related factors,1,21429
B (DbpB/YB-1-like),1,22608
RC3H-related factors,1,319817
BSX,1,244813
PROP,1,19127
POU1 (Pit-1-like factors),1,18736
ISX,1,71597
NOBOX,1,18291
RelA-associated inhibitor,1,333654
FOXS,1,14239
AP-4,1,83383
Nuclear localized protein 1,1,66855
SPDEF-like factors,1,30051
PDX,1,18609
C (FRG Y2-like),1,53422
Tailless-like receptors (NR2E),1,21907
AIRE,1,11634
NRF,1,18181
OTP,1,18420
A (DbpA-like),1,56449
MIX,1,27217
ZGPAT-related factors,1,229007
NPAS-4,1,225872
DMTF-like factors,1,23857
PHF5,1,68479
CNOT4-related factors,1,53621
HLX,1,15284
JARID2,1,16468
LYAR-related proteins,1,17089
UNCX,1,22255
Responders to external signals (SRF/RLM1),1,20807
UTF,1,22286
ZNF322-like factors,1,218100
ARX,1,11878
MKX (Mohawk),1,210719
NK-1,1,20231
HDX-like factors,1,245596
bHLHa9-like factors,1,320522
XBP-1-related factors,1,22433
CREBL2-like factors,1,232430
GCNF-related receptors (NR6),1,14536
MNX,1,15285
Group H,1,214105
Group G,1,20670
RFXAP,1,170767
HOPX,1,74318
Myelin gene regulatory factor-related factors,1,225908
NANOG,1,71950
Lethal(3)malignant brain tumor-related proteins,1,241764
HHEX,1,15242
DMBX,1,140477
RFXANK,1,19727
TFAM,1,21780
SEBOX,1,18292
NOTO,1,384452
